,Name,Mileage,Dealer Name,Rating,Review Count,Price
52,2023 Mercedes-Benz GLE 450 AWD 4MATIC,"6,019 mi.",Serra Auto Campus,n/a,38 ,"$76,987"
53,2021 Mercedes-Benz S-Class S 580 4MATIC,"18,762 mi.",Mercedes-Benz of Nashville,4.4,922 ,"$93,998"
54,2023 Mercedes-Benz GLE 450 AWD 4MATIC,"2,984 mi.",Mercedes-Benz of Fredericksburg,4.7,431 ,"$76,000"
55,2023 Mercedes-Benz CLA 250 Base 4MATIC,"3,959 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$44,349"
56,2021 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"22,383 mi.",Mercedes-Benz of Lancaster,4.8,172 ,"$104,990"
57,2023 Mercedes-Benz EQB 300 Base 4MATIC,"5,226 mi.",Mercedes-Benz of Massapequa,4.8,"1,857 ","$49,998"
58,2019 Mercedes-Benz GLS 450 Base 4MATIC,"53,435 mi.",Mercedes-Benz of Rochester,4.7,152 ,"$45,495"
59,2022 Mercedes-Benz AMG GLB 35 Base,"7,102 mi.",Mercedes-Benz of Fort Myers,4.7,984 ,"$51,997"
60,2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"9,642 mi.",Mercedes-Benz of Temecula,4.0,"1,397 ","$63,991"
61,2022 Mercedes-Benz AMG GT 53 Base,"7,913 mi.",Mercedes-Benz of Fort Mitchell,4.7,612 ,"$99,998"
62,2021 Mercedes-Benz GLA 250 Base 4MATIC,"29,316 mi.",Mercedes-Benz of Rochester,4.7,152 ,"$37,495"
63,2023 Mercedes-Benz EQE 350+ Base,"5,937 mi.",Mercedes-Benz of Foothill Ranch,4.7,656 ,"$68,496"
64,2023 Mercedes-Benz GLC 300 4MATIC Coupe,"5,461 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$58,510"
65,2019 Mercedes-Benz A-Class A 220 4MATIC,"26,520 mi.",Mercedes-Benz of Rochester,4.7,152 ,"$29,995"
66,2023 Mercedes-Benz CLA 250 Base 4MATIC,"4,597 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$42,561"
67,2021 Mercedes-Benz AMG GLB 35 Base,"16,226 mi.",Mercedes-Benz of Atlanta Northeast,4.7,"2,034 ","$47,673"
68,2023 Mercedes-Benz CLA 250 Base 4MATIC,"3,377 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$43,950"
69,2022 Mercedes-Benz A-Class A 220 4MATIC,"2,779 mi.",James Motor Company,n/a,194 ,"$37,500"
70,2020 Mercedes-Benz GLB 250 GLB 250,"34,405 mi.",Mercedes-Benz of Pittsburgh,n/a,77 ,"$35,880"
71,2023 Mercedes-Benz EQS 580 Base 4MATIC,"11,514 mi.",Mercedes-Benz of Sugar Land,3.7,563 ,"$107,989"
72,2022 Mercedes-Benz GLA 250 Base 4MATIC,"7,469 mi.",Mercedes-Benz of Chandler,4.9,624 ,"$40,000"
73,2019 Mercedes-Benz AMG C 63 S,"35,008 mi.",Mercedes-Benz of Catonsville,4.3,488 ,"$67,800"
74,2020 Mercedes-Benz GLE 350 Base 4MATIC,"36,693 mi.",Mercedes-Benz of Morristown,4.8,575 ,"$51,895"
75,2022 Mercedes-Benz GLC 300 Base 4MATIC,"8,170 mi.",Mercedes-Benz of Monterey,n/a,60 ,"$44,287"
76,2022 Mercedes-Benz AMG SL 55 Base,956 mi.,Mercedes-Benz of Houston Greenway,4.8,"2,665 ","$134,967"
77,2022 Mercedes-Benz AMG GLE 53 Base,"2,925 mi.",Mercedes-Benz of Columbia,5.0,949 ,"$89,444"
78,2021 Mercedes-Benz GLE 450 AWD 4MATIC,"15,117 mi.",Mercedes-Benz of St. Charles,4.7,589 ,"$68,893"
79,2023 Mercedes-Benz GLA 250 Base 4MATIC,787 mi.,Jackie Cooper Imports,4.9,"4,074 ","$47,000"
80,2021 Mercedes-Benz GLC 300 Base 4MATIC,"35,926 mi.",Mercedes-Benz of Naples,4.7,"1,521 ","$39,999"
